gene_id	protein_id	reference_accession	gene_symbol	identity(%)	coverage(%)	bit_score	evalue
LOC135198053	XP_064081514.1	NP_001018081.3	AAAS	44.44	1.00	-	-
LOC135198053	XP_064081515.1	NP_000002.2	A2M	44.44	6.00	-	-
LOC135198052	XP_064081516.1	NP_000014.2	AAK1	39.47	33.00	-	-
LOC135198053	XP_064081517.1	NP_000002.2	A2M	44.44	6.00	-	-
LOC135198054	XP_064081518.1	NP_000014.2	AAK1	43.75	16.00	-	-
LOC135198055	XP_064081519.1	NP_000001.3	A1BG	22.06	31.00	-	-
LOC135198056	XP_064081520.1	NP_000001.3	A1BG	33.33	2.00	-	-
LOC135198057	XP_064081521.1	NP_000014.2	AAK1	30.43	42.00	-	-
LOC135198058	XP_064081522.1	NP_000001.3	A1BG	30.77	21.00	-	-
LOC135198059	XP_064081523.1	NP_000001.3	A1BG	27.27	4.00	-	-
LOC135198059	XP_064081524.1	NP_000001.3	A1BG	27.27	4.00	-	-
LOC135198059	XP_064081525.1	NP_000001.3	A1BG	27.27	4.00	-	-
LOC135198059	XP_064081526.1	NP_000001.3	A1BG	27.27	4.00	-	-
LOC135198061	XP_064081527.1	NP_000002.2	A2M	23.81	21.00	-	-
LOC135198061	XP_064081528.1	NP_000002.2	A2M	23.81	11.00	-	-
LOC135197956	XP_064081529.1	NP_000001.3	A1BG	83.33	6.00	-	-
LOC135198060	XP_064081530.1	NP_000001.3	A1BG	75.00	12.00	-	-
LOC135198062	XP_064081531.1	NP_000001.3	A1BG	26.09	28.00	-	-
LOC135198064	XP_064081532.1	NP_000014.2	AAK1	27.78	16.00	-	-
LOC135198065	XP_064081533.1	NP_000014.2	AAK1	33.33	15.00	-	-
LOC135198065	XP_064081534.1	NP_000014.2	AAK1	25.00	22.00	-	-
LOC135198066	XP_064081535.1	NP_000001.3	A1BG	41.67	24.00	-	-
LOC135198067	XP_064081536.1	NP_000001.3	A1BG	43.75	5.00	-	-
LOC135198067	XP_064081537.1	NP_000001.3	A1BG	43.75	6.00	-	-
LOC135198068	XP_064081538.1	NP_001018081.3	AAAS	42.86	4.00	-	-
LOC135198069	XP_064081539.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081540.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081541.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081542.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081543.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081544.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081545.1	NP_000014.2	AAK1	25.58	8.00	-	-
LOC135198069	XP_064081546.1	NP_000005.2	A2MP1	50.00	2.00	-	-
LOC135198070	XP_064081547.1	NP_000001.3	A1BG	29.41	10.00	-	-
LOC135198070	XP_064081548.1	NP_000001.3	A1BG	29.41	10.00	-	-
LOC135198070	XP_064081549.1	NP_000001.3	A1BG	29.41	10.00	-	-
LOC135198070	XP_064081550.1	NP_000001.3	A1BG	29.41	11.00	-	-
LOC135198070	XP_064081551.1	NP_000001.3	A1BG	29.41	11.00	-	-
LOC135198072	XP_064081552.1	NP_000014.2	AAK1	36.36	4.00	-	-
LOC135198071	XP_064081553.1	NP_000001.3	A1BG	66.67	1.00	-	-
LOC135198072	XP_064081554.1	NP_000014.2	AAK1	36.36	4.00	-	-
LOC135198072	XP_064081555.1	NP_000014.2	AAK1	36.36	4.00	-	-
LOC135198073	XP_064081556.1	NP_000001.3	A1BG	25.49	32.00	-	-
LOC135198074	XP_064081557.1	NP_000001.3	A1BG	25.49	32.00	-	-
LOC135198075	XP_064081558.1	NP_000001.3	A1BG	31.43	21.00	-	-
LOC135198076	XP_064081559.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198076	XP_064081560.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198076	XP_064081561.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198076	XP_064081562.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198076	XP_064081563.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198076	XP_064081564.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198076	XP_064081565.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198077	XP_064081566.1	NP_001018081.3	AAAS	30.00	15.00	-	-
LOC135198078	XP_064081567.1	NP_001018081.3	AAAS	44.44	8.00	-	-
LOC135198078	XP_064081568.1	NP_001018081.3	AAAS	44.44	9.00	-	-
LOC135198078	XP_064081569.1	NP_000014.2	AAK1	22.22	16.00	-	-
LOC135198078	XP_064081570.1	NP_001018081.3	AAAS	66.67	2.00	-	-
LOC135198078	XP_064081571.1	NP_001018081.3	AAAS	44.44	3.00	-	-
LOC135198078	XP_064081572.1	NP_001018081.3	AAAS	44.44	3.00	-	-
LOC135198080	XP_064081574.1	NP_000005.2	A2MP1	66.67	5.00	-	-
LOC135198082	XP_064081575.1	NP_000014.2	AAK1	44.44	6.00	-	-
LOC135198082	XP_064081576.1	NP_000014.2	AAK1	44.44	6.00	-	-
LOC135198082	XP_064081577.1	NP_000001.3	A1BG	27.27	5.00	-	-
LOC135198083	XP_064081578.1	NP_000001.3	A1BG	33.33	5.00	-	-
LOC135198081	XP_064081579.1	NP_000014.2	AAK1	27.16	5.00	-	-
LOC135198084	XP_064081580.1	NP_000014.2	AAK1	40.00	5.00	-	-
LOC135198084	XP_064081581.1	NP_000014.2	AAK1	40.00	5.00	-	-
LOC135198084	XP_064081582.1	NP_000014.2	AAK1	40.00	5.00	-	-
LOC135198085	XP_064081583.1	NP_001018081.3	AAAS	33.33	11.00	-	-
LOC135198086	XP_064081584.1	NP_000014.2	AAK1	28.57	12.00	-	-
LOC135198087	XP_064081585.1	NP_000014.2	AAK1	46.15	6.00	-	-
LOC135198088	XP_064081586.1	NP_000014.2	AAK1	35.71	12.00	-	-
LOC135198088	XP_064081587.1	NP_000014.2	AAK1	35.71	12.00	-	-
LOC135198090	XP_064081588.1	NP_000001.3	A1BG	34.62	5.00	-	-
LOC135198090	XP_064081589.1	NP_000001.3	A1BG	34.62	5.00	-	-
LOC135198090	XP_064081590.1	NP_000001.3	A1BG	34.62	5.00	-	-
LOC135198089	XP_064081591.1	NP_000001.3	A1BG	23.68	8.00	-	-
LOC135198090	XP_064081592.1	NP_000001.3	A1BG	34.62	5.00	-	-
LOC135198090	XP_064081593.1	NP_000001.3	A1BG	34.62	5.00	-	-
LOC135198091	XP_064081594.1	NP_000002.2	A2M	32.14	7.00	-	-
LOC135198091	XP_064081595.1	NP_000002.2	A2M	28.12	8.00	-	-
LOC135198091	XP_064081596.1	NP_000002.2	A2M	28.12	8.00	-	-
LOC135198091	XP_064081597.1	NP_000002.2	A2M	28.12	8.00	-	-
LOC135198091	XP_064081598.1	NP_000002.2	A2M	28.12	8.00	-	-
LOC135198091	XP_064081599.1	NP_000002.2	A2M	28.12	8.00	-	-
LOC135198091	XP_064081600.1	NP_000002.2	A2M	32.14	9.00	-	-
LOC135198092	XP_064081601.1	NP_000005.2	A2MP1	36.00	2.00	-	-
LOC135198092	XP_064081602.1	NP_000005.2	A2MP1	36.00	2.00	-	-
LOC135198093	XP_064081603.1	NP_001018081.3	AAAS	29.17	2.00	-	-
LOC135198093	XP_064081604.1	NP_001018081.3	AAAS	29.17	2.00	-	-
LOC135198093	XP_064081605.1	NP_001018081.3	AAAS	29.17	2.00	-	-
LOC135198093	XP_064081606.1	NP_001018081.3	AAAS	29.17	2.00	-	-
LOC135198093	XP_064081607.1	NP_001018081.3	AAAS	29.17	2.00	-	-
LOC135198093	XP_064081608.1	NP_001018081.3	AAAS	29.17	3.00	-	-
LOC135198094	XP_064081609.1	NP_000002.2	A2M	45.00	19.00	-	-
LOC135198094	XP_064081610.1	NP_000002.2	A2M	45.00	19.00	-	-
LOC135198094	XP_064081611.1	NP_000014.2	AAK1	26.19	30.00	-	-
LOC135198094	XP_064081612.1	NP_000002.2	A2M	45.00	22.00	-	-
LOC135198094	XP_064081613.1	NP_000002.2	A2M	45.00	25.00	-	-
LOC135198095	XP_064081614.1	NP_000001.3	A1BG	75.00	12.00	-	-
LOC135198095	XP_064081615.1	NP_000001.3	A1BG	75.00	11.00	-	-
LOC135198098	XP_064081616.1	NP_001018081.3	AAAS	50.00	5.00	-	-
LOC135198098	XP_064081617.1	NP_001018081.3	AAAS	50.00	5.00	-	-
LOC135198099	XP_064081618.1	NP_000001.3	A1BG	75.00	5.00	-	-
LOC135198097	XP_064081619.1	NP_000001.3	A1BG	40.00	2.00	-	-
LOC135198100	XP_064081620.1	NP_000001.3	A1BG	37.50	8.00	-	-
LOC135198101	XP_064081621.1	NP_001018081.3	AAAS	33.33	9.00	-	-
LOC135198101	XP_064081622.1	NP_001018081.3	AAAS	33.33	9.00	-	-
LOC135198101	XP_064081623.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081624.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081625.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081626.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081627.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081628.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081629.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081630.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081631.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198101	XP_064081632.1	NP_001018081.3	AAAS	33.33	10.00	-	-
LOC135198102	XP_064081633.1	NP_000001.3	A1BG	27.50	30.00	-	-
LOC135198105	XP_064081634.1	NP_000001.3	A1BG	33.33	13.00	-	-
LOC135198108	XP_064081635.1	NP_000001.3	A1BG	85.71	13.00	-	-
LOC135198108	XP_064081636.1	NP_000001.3	A1BG	85.71	14.00	-	-
LOC135198108	XP_064081637.1	NP_000001.3	A1BG	85.71	14.00	-	-
LOC135198108	XP_064081638.1	NP_000001.3	A1BG	85.71	14.00	-	-
LOC135198108	XP_064081639.1	NP_000001.3	A1BG	85.71	14.00	-	-
LOC135198110	XP_064081640.1	NP_000002.2	A2M	24.00	18.00	-	-
LOC135198110	XP_064081641.1	NP_000002.2	A2M	24.00	18.00	-	-
LOC135198111	XP_064081642.1	NP_000001.3	A1BG	52.38	3.00	-	-
LOC135198114	XP_064081644.1	NP_000002.2	A2M	31.58	5.00	-	-
LOC135198115	XP_064081645.1	NP_001018081.3	AAAS	55.56	3.00	-	-
LOC135198116	XP_064081646.1	NP_000014.2	AAK1	46.67	10.00	-	-
LOC135198116	XP_064081647.1	NP_000014.2	AAK1	46.67	10.00	-	-
LOC135198116	XP_064081648.1	NP_000014.2	AAK1	46.67	10.00	-	-
LOC135198116	XP_064081649.1	NP_000014.2	AAK1	46.67	10.00	-	-
LOC135198117	XP_064081650.1	NP_000005.2	A2MP1	46.15	12.00	-	-
LOC135198119	XP_064081651.1	NP_000002.2	A2M	25.00	5.00	-	-
LOC135198119	XP_064081652.1	NP_000002.2	A2M	25.00	6.00	-	-
LOC135198119	XP_064081653.1	NP_000002.2	A2M	25.00	6.00	-	-
LOC135198120	XP_064081654.1	NP_001018081.3	AAAS	31.25	12.00	-	-
LOC135198121	XP_064081655.1	NP_000002.2	A2M	44.44	4.00	-	-
LOC135198122	XP_064081656.1	NP_000001.3	A1BG	37.50	10.00	-	-
LOC135198123	XP_064081657.1	NP_000001.3	A1BG	28.12	24.00	-	-
LOC135198123	XP_064081658.1	NP_000001.3	A1BG	28.12	24.00	-	-
LOC135198123	XP_064081659.1	NP_000001.3	A1BG	28.12	24.00	-	-
LOC135198124	XP_064081660.1	NP_000001.3	A1BG	50.00	16.00	-	-
LOC135198124	XP_064081661.1	NP_000001.3	A1BG	50.00	6.00	-	-
LOC135198124	XP_064081662.1	NP_000001.3	A1BG	50.00	18.00	-	-
LOC135198124	XP_064081663.1	NP_000001.3	A1BG	50.00	18.00	-	-
LOC135198124	XP_064081664.1	NP_000001.3	A1BG	50.00	19.00	-	-
LOC135198124	XP_064081665.1	NP_000001.3	A1BG	50.00	19.00	-	-
LOC135198124	XP_064081666.1	NP_000001.3	A1BG	50.00	19.00	-	-
LOC135198125	XP_064081667.1	NP_001018081.3	AAAS	50.00	3.00	-	-
LOC135198126	XP_064081668.1	NP_000005.2	A2MP1	33.33	14.00	-	-
LOC135198126	XP_064081669.1	NP_000005.2	A2MP1	33.33	13.00	-	-
LOC135198127	XP_064081670.1	NP_000001.3	A1BG	35.71	8.00	-	-
LOC135198127	XP_064081671.1	NP_000001.3	A1BG	35.71	8.00	-	-
LOC135198129	XP_064081672.1	NP_001018081.3	AAAS	55.56	14.00	-	-
LOC135198130	XP_064081673.1	NP_001018081.3	AAAS	71.43	2.00	-	-
LOC135198132	XP_064081674.1	NP_000014.2	AAK1	62.50	3.00	-	-
LOC135198132	XP_064081675.1	NP_000014.2	AAK1	62.50	3.00	-	-
LOC135198133	XP_064081676.1	NP_000002.2	A2M	30.00	14.00	-	-
LOC135198134	XP_064081678.1	NP_000001.3	A1BG	37.50	18.00	-	-
LOC135198135	XP_064081679.1	NP_000001.3	A1BG	25.00	6.00	-	-
LOC135198135	XP_064081680.1	NP_000001.3	A1BG	25.00	6.00	-	-
LOC135198136	XP_064081681.1	NP_000005.2	A2MP1	28.20	8.00	-	-
LOC135198137	XP_064081682.1	NP_000014.2	AAK1	42.10	14.00	-	-
LOC135198137	XP_064081683.1	NP_000014.2	AAK1	42.10	14.00	-	-
LOC135198137	XP_064081684.1	NP_000014.2	AAK1	42.10	14.00	-	-
LOC135198137	XP_064081685.1	NP_000014.2	AAK1	42.10	14.00	-	-
LOC135198137	XP_064081686.1	NP_000014.2	AAK1	42.10	14.00	-	-
LOC135198137	XP_064081687.1	NP_000014.2	AAK1	42.10	14.00	-	-
LOC135198139	XP_064081688.1	NP_000014.2	AAK1	100.00	7.00	-	-
LOC135198140	XP_064081689.1	NP_000001.3	A1BG	40.91	10.00	-	-
LOC135198140	XP_064081690.1	NP_000001.3	A1BG	40.91	13.00	-	-
LOC135198142	XP_064081691.1	NP_000001.3	A1BG	35.71	6.00	-	-
LOC135198142	XP_064081692.1	NP_000001.3	A1BG	35.71	6.00	-	-
LOC135198143	XP_064081693.1	NP_000014.2	AAK1	66.67	12.00	-	-
LOC135198143	XP_064081694.1	NP_000014.2	AAK1	66.67	12.00	-	-
LOC135198143	XP_064081695.1	NP_000014.2	AAK1	66.67	12.00	-	-
LOC135198145	XP_064081696.1	NP_000005.2	A2MP1	57.14	2.00	-	-
LOC135198145	XP_064081697.1	NP_000005.2	A2MP1	57.14	2.00	-	-
LOC135198145	XP_064081698.1	NP_000005.2	A2MP1	57.14	2.00	-	-
LOC135198145	XP_064081699.1	NP_000005.2	A2MP1	57.14	2.00	-	-
LOC135198145	XP_064081700.1	NP_000005.2	A2MP1	57.14	2.00	-	-
LOC135198147	XP_064081701.1	NP_000001.3	A1BG	26.32	26.00	-	-
LOC135198146	XP_064081702.1	NP_000005.2	A2MP1	55.56	4.00	-	-
LOC135198148	XP_064081703.1	NP_000005.2	A2MP1	37.50	7.00	-	-
LOC135198148	XP_064081704.1	NP_000005.2	A2MP1	37.50	7.00	-	-
LOC135198149	XP_064081705.1	NP_000014.2	AAK1	37.50	21.00	-	-
LOC135198149	XP_064081706.1	NP_000014.2	AAK1	38.89	17.00	-	-
LOC135198150	XP_064081707.1	NP_001018081.3	AAAS	35.71	2.00	-	-
LOC135198150	XP_064081708.1	NP_000014.2	AAK1	27.69	13.00	-	-
LOC135198150	XP_064081709.1	NP_001018081.3	AAAS	35.71	2.00	-	-
LOC135198151	XP_064081710.1	NP_000014.2	AAK1	50.00	20.00	-	-
LOC135198151	XP_064081711.1	NP_000014.2	AAK1	50.00	21.00	-	-
LOC135198151	XP_064081712.1	NP_000014.2	AAK1	50.00	21.00	-	-
LOC135198153	XP_064081713.1	NP_000001.3	A1BG	36.36	33.00	-	-
LOC135198153	XP_064081714.1	NP_000001.3	A1BG	36.36	33.00	-	-
LOC135198152	XP_064081715.1	NP_001018081.3	AAAS	62.50	2.00	-	-
LOC135198155	XP_064081716.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198155	XP_064081717.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198155	XP_064081718.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198155	XP_064081719.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198155	XP_064081720.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198155	XP_064081721.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198155	XP_064081722.1	NP_001018081.3	AAAS	37.50	4.00	-	-
LOC135198156	XP_064081723.1	NP_000002.2	A2M	33.33	6.00	-	-
LOC135198157	XP_064081724.1	NP_000001.3	A1BG	29.73	9.00	-	-
LOC135198157	XP_064081725.1	NP_000001.3	A1BG	29.73	9.00	-	-
LOC135198157	XP_064081726.1	NP_000001.3	A1BG	29.73	9.00	-	-
LOC135198157	XP_064081727.1	NP_000001.3	A1BG	29.73	9.00	-	-
LOC135198157	XP_064081728.1	NP_000001.3	A1BG	29.73	10.00	-	-
LOC135198158	XP_064081729.1	NP_001018081.3	AAAS	30.00	10.00	-	-
LOC135198159	XP_064081730.1	NP_000002.2	A2M	35.48	12.00	-	-
LOC135198160	XP_064081731.1	NP_000001.3	A1BG	50.00	5.00	-	-
LOC135198160	XP_064081732.1	NP_000001.3	A1BG	50.00	5.00	-	-
LOC135198160	XP_064081733.1	NP_000001.3	A1BG	50.00	5.00	-	-
LOC135198160	XP_064081734.1	NP_000014.2	AAK1	30.77	6.00	-	-
LOC135198161	XP_064081735.1	NP_000001.3	A1BG	60.00	7.00	-	-
LOC135198162	XP_064081736.1	NP_000005.2	A2MP1	22.58	16.00	-	-
LOC135198163	XP_064081737.1	NP_000005.2	A2MP1	25.00	13.00	-	-
LOC135198163	XP_064081739.1	NP_000001.3	A1BG	30.00	21.00	-	-
LOC135198163	XP_064081740.1	NP_001018081.3	AAAS	50.00	7.00	-	-
LOC135198164	XP_064081741.1	NP_000002.2	A2M	40.00	21.00	-	-
LOC135198165	XP_064081742.1	NP_000001.3	A1BG	27.59	13.00	-	-
LOC135198165	XP_064081743.1	NP_000001.3	A1BG	27.59	14.00	-	-
LOC135198166	XP_064081744.1	NP_000005.2	A2MP1	36.67	7.00	-	-
LOC135198166	XP_064081745.1	NP_000005.2	A2MP1	36.67	7.00	-	-
LOC135198166	XP_064081746.1	NP_000005.2	A2MP1	36.67	7.00	-	-
LOC135198166	XP_064081747.1	NP_000005.2	A2MP1	36.67	7.00	-	-
LOC135198166	XP_064081748.1	NP_000005.2	A2MP1	36.67	6.00	-	-
LOC135198167	XP_064081749.1	NP_000001.3	A1BG	27.27	2.00	-	-
LOC135198167	XP_064081750.1	NP_000001.3	A1BG	27.27	2.00	-	-
LOC135198167	XP_064081751.1	NP_000001.3	A1BG	27.27	2.00	-	-
LOC135198167	XP_064081752.1	NP_000002.2	A2M	50.00	3.00	-	-
LOC135198169	XP_064081753.1	NP_001018081.3	AAAS	40.00	5.00	-	-
LOC135198169	XP_064081754.1	NP_001018081.3	AAAS	40.00	5.00	-	-
LOC135198168	XP_064081755.1	NP_000005.2	A2MP1	37.50	15.00	-	-
LOC135198169	XP_064081756.1	NP_001018081.3	AAAS	40.00	5.00	-	-
LOC135198169	XP_064081757.1	NP_001018081.3	AAAS	40.00	5.00	-	-
LOC135198169	XP_064081758.1	NP_001018081.3	AAAS	40.00	5.00	-	-
LOC135198170	XP_064081759.1	NP_000014.2	AAK1	53.33	2.00	-	-
LOC135198170	XP_064081760.1	NP_000014.2	AAK1	53.33	2.00	-	-
LOC135198171	XP_064081761.1	NP_000002.2	A2M	32.35	7.00	-	-
LOC135198173	XP_064081762.1	NP_000002.2	A2M	23.53	3.00	-	-
LOC135198174	XP_064081763.1	NP_000005.2	A2MP1	37.50	13.00	-	-
LOC135198175	XP_064081764.1	NP_000001.3	A1BG	55.56	3.00	-	-
LOC135198176	XP_064081765.1	NP_000001.3	A1BG	36.36	6.00	-	-
LOC135198176	XP_064081766.1	NP_000001.3	A1BG	36.36	7.00	-	-
LOC135198176	XP_064081767.1	NP_001018081.3	AAAS	31.82	15.00	-	-
LOC135198176	XP_064081768.1	NP_001018081.3	AAAS	31.82	15.00	-	-
LOC135198178	XP_064081769.1	NP_000005.2	A2MP1	38.46	6.00	-	-
LOC135198179	XP_064081770.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081771.1	NP_000014.2	AAK1	31.58	7.00	-	-
LOC135198179	XP_064081772.1	NP_000014.2	AAK1	33.33	6.00	-	-
LOC135198179	XP_064081773.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081774.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081775.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081776.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081777.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198180	XP_064081778.1	NP_001018081.3	AAAS	33.33	7.00	-	-
LOC135198179	XP_064081779.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081780.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081781.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081782.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081783.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135198179	XP_064081784.1	NP_000014.2	AAK1	31.58	7.00	-	-
LOC135198179	XP_064081785.1	NP_000005.2	A2MP1	50.00	26.00	-	-
LOC135198179	XP_064081786.1	NP_000005.2	A2MP1	50.00	26.00	-	-
LOC135198179	XP_064081787.1	NP_000005.2	A2MP1	50.00	26.00	-	-
LOC135198181	XP_064081791.1	NP_000001.3	A1BG	57.14	3.00	-	-
LOC135198182	XP_064081797.1	NP_000005.2	A2MP1	33.33	8.00	-	-
LOC135198182	XP_064081798.1	NP_000005.2	A2MP1	33.33	8.00	-	-
LOC135198182	XP_064081799.1	NP_000005.2	A2MP1	33.33	8.00	-	-
LOC135198183	XP_064081800.1	NP_000014.2	AAK1	50.00	7.00	-	-
LOC135198183	XP_064081801.1	NP_000014.2	AAK1	33.33	3.00	-	-
LOC135198183	XP_064081802.1	NP_000014.2	AAK1	50.00	12.00	-	-
LOC135198183	XP_064081803.1	NP_000014.2	AAK1	50.00	12.00	-	-
LOC135198185	XP_064081804.1	NP_001018081.3	AAAS	80.00	2.00	-	-
LOC135198186	XP_064081805.1	NP_000002.2	A2M	24.44	11.00	-	-
LOC135198184	XP_064081806.1	NP_000014.2	AAK1	57.14	51.00	-	-
LOC135198187	XP_064081807.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081808.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081809.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081810.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081811.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081812.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081813.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135198187	XP_064081814.1	NP_000001.3	A1BG	32.50	5.00	-	-
LOC135198187	XP_064081815.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198187	XP_064081816.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198187	XP_064081817.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198187	XP_064081818.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198187	XP_064081819.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198187	XP_064081820.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135198189	XP_064081822.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081823.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081824.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081825.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081826.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081828.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081829.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198189	XP_064081830.1	NP_000001.3	A1BG	71.43	1.00	-	-
LOC135198191	XP_064081831.1	NP_000014.2	AAK1	33.33	19.00	-	-
LOC135198193	XP_064081832.1	NP_001018081.3	AAAS	33.33	8.00	-	-
LOC135198194	XP_064081833.1	NP_000014.2	AAK1	40.00	7.00	-	-
LOC135198194	XP_064081834.1	NP_000014.2	AAK1	40.00	7.00	-	-
LOC135198194	XP_064081835.1	NP_000014.2	AAK1	40.00	7.00	-	-
LOC135198192	XP_064081836.1	NP_000014.2	AAK1	55.56	6.00	-	-
LOC135198194	XP_064081837.1	NP_000014.2	AAK1	40.00	7.00	-	-
LOC135198194	XP_064081838.1	NP_000014.2	AAK1	40.00	7.00	-	-
LOC135198194	XP_064081839.1	NP_000014.2	AAK1	40.00	7.00	-	-
LOC135198194	XP_064081840.1	NP_000001.3	A1BG	29.63	6.00	-	-
LOC135198194	XP_064081841.1	NP_000001.3	A1BG	29.63	6.00	-	-
LOC135198194	XP_064081842.1	NP_000001.3	A1BG	29.63	3.00	-	-
LOC135198195	XP_064081843.1	NP_000014.2	AAK1	31.25	7.00	-	-
LOC135198195	XP_064081844.1	NP_000014.2	AAK1	31.25	7.00	-	-
LOC135198197	XP_064081845.1	NP_000001.3	A1BG	40.00	8.00	-	-
LOC135198197	XP_064081846.1	NP_000001.3	A1BG	27.45	31.00	-	-
LOC135198199	XP_064081847.1	NP_000014.2	AAK1	50.00	6.00	-	-
LOC135198200	XP_064081848.1	NP_000001.3	A1BG	24.59	14.00	-	-
LOC135198198	XP_064081849.1	NP_000014.2	AAK1	62.50	2.00	-	-
LOC135198202	XP_064081850.1	NP_000001.3	A1BG	35.29	7.00	-	-
LOC135198203	XP_064081851.1	NP_000014.2	AAK1	50.00	22.00	-	-
LOC135198204	XP_064081852.1	NP_000014.2	AAK1	60.00	4.00	-	-
LOC135198204	XP_064081853.1	NP_000014.2	AAK1	60.00	4.00	-	-
LOC135198205	XP_064081854.1	NP_000014.2	AAK1	32.14	15.00	-	-
LOC135198205	XP_064081855.1	NP_000014.2	AAK1	32.14	15.00	-	-
LOC135198207	XP_064081856.1	NP_000001.3	A1BG	60.00	2.00	-	-
LOC135198214	XP_064081857.1	NP_000005.2	A2MP1	55.56	11.00	-	-
LOC135198216	XP_064081859.1	NP_000005.2	A2MP1	30.30	12.00	-	-
LOC135198217	XP_064081860.1	NP_000014.2	AAK1	47.06	4.00	-	-
LOC135198218	XP_064081861.1	NP_000001.3	A1BG	55.56	14.00	-	-
LOC135198220	XP_064081862.1	NP_000001.3	A1BG	66.67	2.00	-	-
LOC135198221	XP_064081863.1	NP_000001.3	A1BG	32.00	19.00	-	-
LOC135198222	XP_064081864.1	NP_000014.2	AAK1	36.67	4.00	-	-
LOC135198219	XP_064081865.1	NP_000005.2	A2MP1	42.86	3.00	-	-
LOC135198223	XP_064081866.1	NP_000001.3	A1BG	75.00	11.00	-	-
