gene_id	protein_id	product	transcript_id
LOC135222911	XP_064117402.1	protein nervous wreck-like isoform X26	XM_064261332.1
LOC135222911	XP_064117408.1	protein nervous wreck-like isoform X32	XM_064261338.1
LOC135222911	XP_064117406.1	protein nervous wreck-like isoform X30	XM_064261336.1
LOC135222911	XP_064117377.1	protein nervous wreck-like isoform X3	XM_064261307.1
LOC135222911	XP_064117410.1	protein nervous wreck-like isoform X34	XM_064261340.1
LOC135222911	XP_064117380.1	protein nervous wreck-like isoform X6	XM_064261310.1
LOC135223306	XP_064117845.1	uncharacterized transmembrane protein DDB_G0289901-like isoform X1	XM_064261775.1
LOC135223306	XP_064117846.1	PE-PGRS family protein PE_PGRS18-like isoform X2	XM_064261776.1
LOC135222914	XP_064117414.1	hornerin-like isoform X3	XM_064261344.1
LOC135222914	XP_064117413.1	secreted protein C-like isoform X2	XM_064261343.1
LOC135222914	XP_064117412.1	keratin, type I cytoskeletal 9-like isoform X1	XM_064261342.1
LOC135222915	XP_064117415.1	cytochrome b-c1 complex subunit 2, mitochondrial-like	XM_064261345.1
LOC135223147	XP_064117720.1	myosin-11-like	XM_064261650.1
LOC135223148	XP_064117722.1	uncharacterized protein LOC135223148	XM_064261652.1
LOC135223149	XP_064117723.1	uncharacterized protein LOC135223149	XM_064261653.1
LOC135223150	XP_064117725.1	collagen alpha-1(I) chain-like	XM_064261655.1
LOC135223151	XP_064117726.1	basic proline-rich protein-like	XM_064261656.1
LOC135223152	XP_064117727.1	basic proline-rich protein-like	XM_064261657.1
LOC135223153	XP_064117728.1	tigger transposable element-derived protein 1-like	XM_064261658.1
LOC135223155	XP_064117729.1	uncharacterized protein LOC135223155	XM_064261659.1
LOC135223156	XP_064117731.1	uncharacterized protein LOC135223156	XM_064261661.1
LOC135222919	XP_064117416.1	zwei Ig domain protein zig-8-like isoform X1	XM_064261346.1
LOC135222919	XP_064117417.1	zwei Ig domain protein zig-8-like isoform X2	XM_064261347.1
LOC135222921	XP_064117423.1	UDP-glucuronic acid decarboxylase 1-like	XM_064261353.1
LOC135222920	XP_064117422.1	DNA-directed RNA polymerase III subunit RPC6-like isoform X1	XM_064261352.1
LOC135222920	XP_064117420.1	DNA-directed RNA polymerase III subunit RPC6-like isoform X1	XM_064261350.1
LOC135222920	XP_064117419.1	DNA-directed RNA polymerase III subunit RPC6-like isoform X2	XM_064261349.1
LOC135222920	XP_064117418.1	DNA-directed RNA polymerase III subunit RPC6-like isoform X1	XM_064261348.1
LOC135222920	XP_064117421.1	DNA-directed RNA polymerase III subunit RPC6-like isoform X1	XM_064261351.1
LOC135223312	XP_064117847.1	apolipoprotein D-like	XM_064261777.1
LOC135223312	XP_064117848.1	apolipoprotein D-like	XM_064261778.1
LOC135223330	XP_064117862.1	uncharacterized protein LOC135223330	XM_064261792.1
LOC135222926	XP_064117433.1	apolipoprotein D-like	XM_064261363.1
LOC135222924	XP_064117425.1	xanthine dehydrogenase/oxidase-like	XM_064261355.1
LOC135222925	XP_064117426.1	uncharacterized protein LOC135222925 isoform X1	XM_064261356.1
LOC135222925	XP_064117430.1	uncharacterized protein LOC135222925 isoform X4	XM_064261360.1
LOC135222925	XP_064117432.1	uncharacterized protein LOC135222925 isoform X6	XM_064261362.1
LOC135222925	XP_064117429.1	uncharacterized protein LOC135222925 isoform X3	XM_064261359.1
LOC135222925	XP_064117431.1	uncharacterized protein LOC135222925 isoform X5	XM_064261361.1
LOC135222925	XP_064117427.1	uncharacterized protein LOC135222925 isoform X2	XM_064261357.1
LOC135223157	XP_064117732.1	neuronal pentraxin-2-like	XM_064261662.1
LOC135222927	XP_064117438.1	protein ST7 homolog isoform X2	XM_064261368.1
LOC135222927	XP_064117439.1	protein ST7 homolog isoform X3	XM_064261369.1
LOC135222927	XP_064117440.1	protein ST7 homolog isoform X3	XM_064261370.1
LOC135222927	XP_064117434.1	protein ST7 homolog isoform X1	XM_064261364.1
LOC135222927	XP_064117436.1	protein ST7 homolog isoform X1	XM_064261366.1
LOC135222927	XP_064117435.1	protein ST7 homolog isoform X1	XM_064261365.1
LOC135222927	XP_064117437.1	protein ST7 homolog isoform X1	XM_064261367.1
LOC135222929	XP_064117441.1	chromatin assembly factor 1 subunit B-like	XM_064261371.1
LOC135222929	XP_064117443.1	chromatin assembly factor 1 subunit B-like	XM_064261373.1
LOC135223158	XP_064117733.1	uncharacterized protein LOC135223158	XM_064261663.1
LOC135223159	XP_064117734.1	basic proline-rich protein-like	XM_064261664.1
LOC135223331	XP_064117863.1	LOW QUALITY PROTEIN: basic proline-rich protein-like	XM_064261793.1
LOC135223160	XP_064117735.1	collagen alpha-2(I) chain-like	XM_064261665.1
LOC135223161	XP_064117736.1	basic proline-rich protein-like	XM_064261666.1
LOC135223162	XP_064117737.1	basic proline-rich protein-like	XM_064261667.1
LOC135223164	XP_064117738.1	basic proline-rich protein-like	XM_064261668.1
LOC135223165	XP_064117739.1	collagen alpha-2(I) chain-like	XM_064261669.1
LOC135223166	XP_064117740.1	basic proline-rich protein-like	XM_064261670.1
LOC135223167	XP_064117742.1	diacylglycerol kinase eta-like	XM_064261672.1
LOC135222931	XP_064117444.1	deformed epidermal autoregulatory factor 1 homolog isoform X1	XM_064261374.1
LOC135222931	XP_064117445.1	deformed epidermal autoregulatory factor 1 homolog isoform X2	XM_064261375.1
LOC135222932	XP_064117446.1	gamma-tubulin complex component 4-like isoform X1	XM_064261376.1
LOC135222932	XP_064117447.1	gamma-tubulin complex component 4-like isoform X2	XM_064261377.1
LOC135222933	XP_064117448.1	uncharacterized protein LOC135222933	XM_064261378.1
LOC135222936	XP_064117450.1	organic cation transporter protein-like isoform X1	XM_064261380.1
LOC135222936	XP_064117451.1	organic cation transporter protein-like isoform X2	XM_064261381.1
LOC135222936	XP_064117455.1	organic cation transporter protein-like isoform X2	XM_064261385.1
LOC135222936	XP_064117452.1	organic cation transporter protein-like isoform X2	XM_064261382.1
LOC135222936	XP_064117453.1	organic cation transporter protein-like isoform X2	XM_064261383.1
LOC135222936	XP_064117454.1	organic cation transporter protein-like isoform X2	XM_064261384.1
LOC135222936	XP_064117456.1	organic cation transporter protein-like isoform X3	XM_064261386.1
LOC135222937	XP_064117457.1	LOW QUALITY PROTEIN: histone-lysine N-methyltransferase NSD2-like	XM_064261387.1
LOC135222938	XP_064117459.1	uncharacterized protein LOC135222938	XM_064261389.1
LOC135222942	XP_064117460.1	uncharacterized protein LOC135222942	XM_064261390.1
LOC135223317	XP_064117850.1	uncharacterized protein LOC135223317	XM_064261780.1
LOC135223168	XP_064117743.1	uncharacterized protein LOC135223168	XM_064261673.1
LOC135223169	XP_064117744.1	WD repeat-containing protein 87-like	XM_064261674.1
LOC135222946	XP_064117467.1	inactive phospholipase C-like protein 2 isoform X5	XM_064261397.1
LOC135222946	XP_064117462.1	inactive phospholipase C-like protein 1 isoform X1	XM_064261392.1
LOC135222946	XP_064117464.1	inactive phospholipase C-like protein 1 isoform X2	XM_064261394.1
LOC135222946	XP_064117465.1	inactive phospholipase C-like protein 1 isoform X3	XM_064261395.1
LOC135222946	XP_064117463.1	inactive phospholipase C-like protein 1 isoform X1	XM_064261393.1
LOC135222946	XP_064117466.1	inactive phospholipase C-like protein 2 isoform X4	XM_064261396.1
LOC135222947	XP_064117469.1	enoyl-CoA delta isomerase 2-like	XM_064261399.1
LOC135222947	XP_064117468.1	enoyl-CoA delta isomerase 2-like	XM_064261398.1
LOC135223170	XP_064117745.1	uncharacterized protein LOC135223170	XM_064261675.1
LOC135222949	XP_064117470.1	uncharacterized protein LOC135222949	XM_064261400.1
LOC135222950	XP_064117471.1	mucin-3B-like	XM_064261401.1
LOC135222951	XP_064117472.1	LOW QUALITY PROTEIN: probable tRNA(His) guanylyltransferase	XM_064261402.1
LOC135222952	XP_064117475.1	uncharacterized protein LOC135222952 isoform X2	XM_064261405.1
LOC135222952	XP_064117479.1	uncharacterized protein LOC135222952 isoform X5	XM_064261409.1
LOC135222952	XP_064117483.1	thyrotropin-releasing hormone receptor-like isoform X8	XM_064261413.1
LOC135222952	XP_064117477.1	uncharacterized protein LOC135222952 isoform X4	XM_064261407.1
LOC135222952	XP_064117476.1	uncharacterized protein LOC135222952 isoform X3	XM_064261406.1
LOC135222952	XP_064117481.1	uncharacterized protein LOC135222952 isoform X7	XM_064261411.1
LOC135222952	XP_064117482.1	thyrotropin-releasing hormone receptor-like isoform X8	XM_064261412.1
LOC135222952	XP_064117478.1	uncharacterized protein LOC135222952 isoform X4	XM_064261408.1
LOC135222952	XP_064117480.1	uncharacterized protein LOC135222952 isoform X6	XM_064261410.1
LOC135222952	XP_064117474.1	thyrotropin-releasing hormone receptor-like isoform X1	XM_064261404.1
LOC135222953	XP_064117485.1	protein extra-macrochaetae-like isoform X1	XM_064261415.1
LOC135222953	XP_064117486.1	protein extra-macrochaetae-like isoform X2	XM_064261416.1
LOC135223332	XP_064117864.1	uncharacterized protein LOC135223332	XM_064261794.1
LOC135222954	XP_064117488.1	neuropeptide SIFamide receptor-like	XM_064261418.1
LOC135222954	XP_064117487.1	neuropeptide SIFamide receptor-like	XM_064261417.1
LOC135223319	XP_064117851.1	uncharacterized protein LOC135223319	XM_064261781.1
LOC135223171	XP_064117746.1	collagen alpha-1(X) chain-like	XM_064261676.1
LOC135223172	XP_064117747.1	basic proline-rich protein-like	XM_064261677.1
LOC135222955	XP_064117489.1	uncharacterized protein LOC135222955	XM_064261419.1
LOC135222955	XP_064117490.1	uncharacterized protein LOC135222955	XM_064261420.1
LOC135223173	XP_064117748.1	salivary glue protein Sgs-3-like	XM_064261678.1
LOC135223175	XP_064117749.1	transmembrane protease serine 13-like	XM_064261679.1
LOC135223176	XP_064117750.1	uncharacterized protein LOC135223176	XM_064261680.1
LOC135223320	XP_064117852.1	uncharacterized protein LOC135223320	XM_064261782.1
LOC135223321	XP_064117855.1	LIM homeobox transcription factor 1-beta-like isoform X2	XM_064261785.1
LOC135223321	XP_064117854.1	LIM homeobox transcription factor 1-beta-like isoform X1	XM_064261784.1
LOC135223177	XP_064117751.1	LOW QUALITY PROTEIN: DNA-(apurinic or apyrimidinic site) endonuclease-like	XM_064261681.1
LOC135222957	XP_064117493.1	uncharacterized protein LOC135222957	XM_064261423.1
LOC135222956	XP_064117491.1	LOW QUALITY PROTEIN: rho guanine nucleotide exchange factor 10-like	XM_064261421.1
LOC135223322	XP_064117856.1	uncharacterized protein LOC135223322	XM_064261786.1
LOC135222958	XP_064117494.1	homeobox protein php-3-like isoform X1	XM_064261424.1
LOC135222958	XP_064117495.1	homeobox protein php-3-like isoform X2	XM_064261425.1
LOC135223179	XP_064117753.1	protein Shroom4-like	XM_064261683.1
LOC135223180	XP_064117754.1	uncharacterized protein LOC135223180	XM_064261684.1
LOC135223181	XP_064117755.1	uncharacterized protein LOC135223181	XM_064261685.1
LOC135223182	XP_064117756.1	protein enabled homolog	XM_064261686.1
LOC135223183	XP_064117757.1	RNA-binding protein cabeza-like	XM_064261687.1
LOC135223184	XP_064117758.1	coiled-coil domain-containing protein 86-like	XM_064261688.1
LOC135223186	XP_064117759.1	WAS/WASL-interacting protein family member 3-like	XM_064261689.1
LOC135223187	XP_064117760.1	AF4/FMR2 family member lilli-like	XM_064261690.1
LOC135222959	XP_064117497.1	homeobox protein abdominal-A homolog isoform X1	XM_064261427.1
LOC135222959	XP_064117496.1	homeobox protein abdominal-A homolog isoform X1	XM_064261426.1
LOC135222959	XP_064117498.1	homeobox protein abdominal-A homolog isoform X2	XM_064261428.1
LOC135222961	XP_064117509.1	homeotic protein ultrabithorax-like isoform X8	XM_064261439.1
LOC135222961	XP_064117503.1	homeotic protein ultrabithorax-like isoform X4	XM_064261433.1
LOC135222961	XP_064117505.1	homeotic protein ultrabithorax-like isoform X6	XM_064261435.1
LOC135222961	XP_064117510.1	homeotic protein ultrabithorax-like isoform X9	XM_064261440.1
LOC135222961	XP_064117501.1	homeobox protein Hox-B4-like isoform X3	XM_064261431.1
LOC135222961	XP_064117500.1	homeobox protein Hox-B4-like isoform X2	XM_064261430.1
LOC135222961	XP_064117508.1	homeobox protein Hox-A6-like isoform X7	XM_064261438.1
LOC135222961	XP_064117511.1	homeobox protein Hox-B7-B-like isoform X10	XM_064261441.1
LOC135222961	XP_064117502.1	homeobox protein Hox-B4-like isoform X3	XM_064261432.1
LOC135222961	XP_064117499.1	homeobox protein Hox-B4-like isoform X1	XM_064261429.1
LOC135222961	XP_064117504.1	homeobox protein Hox-A6-like isoform X5	XM_064261434.1
LOC135222963	XP_064117512.1	uncharacterized protein LOC135222963	XM_064261442.1
LOC135223188	XP_064117761.1	splicing factor, arginine/serine-rich 19-like	XM_064261691.1
LOC135223189	XP_064117763.1	uncharacterized protein LOC135223189	XM_064261693.1
LOC135223190	XP_064117764.1	putative lysozyme-like protein	XM_064261694.1
LOC135223191	XP_064117765.1	zinc finger protein AEBP2-like	XM_064261695.1
LOC135223192	XP_064117766.1	uncharacterized histidine-rich protein DDB_G0274557-like	XM_064261696.1
LOC135223323	XP_064117857.1	homeobox protein Hox-A5-like	XM_064261787.1
LOC135223193	XP_064117767.1	uncharacterized protein LOC135223193	XM_064261697.1
LOC135222965	XP_064117513.1	homeobox protein Hox-A5-like isoform X1	XM_064261443.1
LOC135222965	XP_064117514.1	homeobox protein Hox-B5-like isoform X2	XM_064261444.1
LOC135223194	XP_064117768.1	protein no-on-transient A-like	XM_064261698.1
LOC135222966	XP_064117517.1	homeobox protein Hox-D4a-like isoform X2	XM_064261447.1
LOC135222966	XP_064117516.1	homeobox protein Hox-D4a-like isoform X1	XM_064261446.1
LOC135223195	XP_064117769.1	box A-binding factor-like	XM_064261699.1
LOC135223197	XP_064117770.1	WAS protein family homolog DDB_G0292878-like	XM_064261700.1
LOC135223325	XP_064117858.1	homeobox protein Hox-B3a-like	XM_064261788.1
LOC135223198	XP_064117771.1	uncharacterized protein LOC135223198	XM_064261701.1
LOC135222968	XP_064117518.1	homeotic protein proboscipedia-like isoform X1	XM_064261448.1
LOC135222968	XP_064117519.1	homeotic protein proboscipedia-like isoform X2	XM_064261449.1
LOC135223199	XP_064117772.1	uncharacterized protein DDB_G0284459-like	XM_064261702.1
LOC135223200	XP_064117774.1	uncharacterized protein LOC135223200	XM_064261704.1
LOC135223201	XP_064117775.1	glycine, alanine and asparagine-rich protein-like	XM_064261705.1
LOC135222969	XP_064117520.1	asparagine synthetase domain-containing protein 1-like	XM_064261450.1
LOC135222970	XP_064117521.1	succinate-semialdehyde dehydrogenase [NADP(+)] GabD-like	XM_064261451.1
LOC135222971	XP_064117522.1	fibrous sheath CABYR-binding protein-like	XM_064261452.1
LOC135222973	XP_064117524.1	apolipoprotein D-like isoform X2	XM_064261454.1
LOC135222973	XP_064117523.1	apolipoprotein D-like isoform X1	XM_064261453.1
LOC135222974	XP_064117525.1	putative N-acetylated-alpha-linked acidic dipeptidase	XM_064261455.1
LOC135222980	XP_064117547.1	uncharacterized protein LOC135222980 isoform X4	XM_064261477.1
LOC135222980	XP_064117546.1	uncharacterized protein LOC135222980 isoform X3	XM_064261476.1
LOC135222980	XP_064117545.1	uncharacterized protein LOC135222980 isoform X2	XM_064261475.1
LOC135222980	XP_064117544.1	uncharacterized protein LOC135222980 isoform X1	XM_064261474.1
LOC135222975	XP_064117528.1	dynamin-like 120 kDa protein, mitochondrial isoform X2	XM_064261458.1
LOC135222975	XP_064117527.1	dynamin-like 120 kDa protein, mitochondrial isoform X1	XM_064261457.1
LOC135222975	XP_064117530.1	dynamin-like 120 kDa protein, mitochondrial isoform X4	XM_064261460.1
LOC135222975	XP_064117529.1	dynamin-like 120 kDa protein, mitochondrial isoform X3	XM_064261459.1
LOC135222975	XP_064117531.1	dynamin-like 120 kDa protein, mitochondrial isoform X5	XM_064261461.1
LOC135222981	XP_064117548.1	mediator of RNA polymerase II transcription subunit 18-like	XM_064261478.1
LOC135222981	XP_064117549.1	mediator of RNA polymerase II transcription subunit 18-like	XM_064261479.1
LOC135222981	XP_064117550.1	mediator of RNA polymerase II transcription subunit 18-like	XM_064261480.1
LOC135222981	XP_064117552.1	mediator of RNA polymerase II transcription subunit 18-like	XM_064261482.1
LOC135222981	XP_064117551.1	mediator of RNA polymerase II transcription subunit 18-like	XM_064261481.1
LOC135222983	XP_064117553.1	dolichol-phosphate mannosyltransferase subunit 3-like	XM_064261483.1
LOC135222983	XP_064117554.1	dolichol-phosphate mannosyltransferase subunit 3-like	XM_064261484.1
LOC135222977	XP_064117533.1	tRNA:m(4)X modification enzyme TRM13 homolog isoform X1	XM_064261463.1
LOC135222977	XP_064117534.1	tRNA:m(4)X modification enzyme TRM13 homolog isoform X2	XM_064261464.1
LOC135222977	XP_064117535.1	tRNA:m(4)X modification enzyme TRM13 homolog isoform X2	XM_064261465.1
LOC135222977	XP_064117536.1	tRNA:m(4)X modification enzyme TRM13 homolog isoform X2	XM_064261466.1
LOC135222979	XP_064117543.1	uncharacterized protein LOC135222979 isoform X4	XM_064261473.1
LOC135222979	XP_064117538.1	uncharacterized protein LOC135222979 isoform X1	XM_064261468.1
LOC135222979	XP_064117537.1	uncharacterized protein LOC135222979 isoform X1	XM_064261467.1
LOC135222979	XP_064117539.1	uncharacterized protein LOC135222979 isoform X1	XM_064261469.1
LOC135222979	XP_064117540.1	uncharacterized protein LOC135222979 isoform X2	XM_064261470.1
LOC135222979	XP_064117542.1	uncharacterized protein LOC135222979 isoform X3	XM_064261472.1
LOC135222976	XP_064117532.1	uncharacterized protein LOC135222976	XM_064261462.1
LOC135222986	XP_064117558.1	gustatory receptor for sugar taste 64e-like	XM_064261488.1
LOC135222985	XP_064117557.1	LOW QUALITY PROTEIN: uncharacterized protein LOC135222985	XM_064261487.1
LOC135222984	XP_064117556.1	uncharacterized protein LOC135222984	XM_064261486.1
LOC135222987	XP_064117559.1	uncharacterized protein LOC135222987 isoform X1	XM_064261489.1
LOC135222987	XP_064117560.1	uncharacterized protein LOC135222987 isoform X2	XM_064261490.1
LOC135223326	XP_064117859.1	uncharacterized protein LOC135223326	XM_064261789.1
LOC135222988	XP_064117562.1	syntaxin-18-like isoform X2	XM_064261492.1
LOC135222988	XP_064117563.1	syntaxin-18-like isoform X2	XM_064261493.1
LOC135222988	XP_064117561.1	syntaxin-18-like isoform X1	XM_064261491.1
LOC135222990	XP_064117564.1	peptidyl-prolyl cis-trans isomerase Fkbp12-like	XM_064261494.1
LOC135223202	XP_064117776.1	glutamic acid-rich protein-like	XM_064261706.1
LOC135222992	XP_064117569.1	dorsal-ventral patterning protein Sog-like isoform X2	XM_064261499.1
LOC135222992	XP_064117565.1	dorsal-ventral patterning protein Sog-like isoform X1	XM_064261495.1
LOC135222992	XP_064117567.1	dorsal-ventral patterning protein Sog-like isoform X1	XM_064261497.1
LOC135222992	XP_064117568.1	dorsal-ventral patterning protein Sog-like isoform X1	XM_064261498.1
LOC135222992	XP_064117570.1	dorsal-ventral patterning protein Sog-like isoform X3	XM_064261500.1
LOC135222993	XP_064117572.1	secretion-regulating guanine nucleotide exchange factor-like isoform X2	XM_064261502.1
LOC135222993	XP_064117571.1	secretion-regulating guanine nucleotide exchange factor-like isoform X1	XM_064261501.1
LOC135222994	XP_064117574.1	mucin-2-like isoform X2	XM_064261504.1
LOC135222994	XP_064117573.1	mucin-2-like isoform X1	XM_064261503.1
LOC135222996	XP_064117576.1	vascular endothelial growth factor A-A-like	XM_064261506.1
LOC135222996	XP_064117577.1	vascular endothelial growth factor A-A-like	XM_064261507.1
LOC135217879	XP_064109971.1	sulfotransferase 1C4-like	XM_064253901.1
LOC135217844	XP_064109917.1	zwei Ig domain protein zig-8-like	XM_064253847.1
LOC135217844	XP_064109915.1	zwei Ig domain protein zig-8-like	XM_064253845.1
LOC135217844	XP_064109916.1	zwei Ig domain protein zig-8-like	XM_064253846.1
LOC135218654	XP_064111169.1	sulfotransferase 1C4-like	XM_064255099.1
LOC135218499	XP_064110922.1	uncharacterized protein LOC135218499	XM_064254852.1
LOC135218595	XP_064111087.1	uncharacterized protein LOC135218595	XM_064255017.1
LOC135218596	XP_064111088.1	sodium channel protein para-like	XM_064255018.1
LOC135218600	XP_064111098.1	calpain-9-like	XM_064255028.1
LOC135217851	XP_064109928.1	scavenger receptor cysteine-rich type 1 protein M130-like isoform X1	XM_064253858.1
LOC135217851	XP_064109932.1	neurotrypsin-like isoform X2	XM_064253862.1
LOC135217851	XP_064109933.1	neurotrypsin-like isoform X2	XM_064253863.1
LOC135217851	XP_064109929.1	scavenger receptor cysteine-rich type 1 protein M130-like isoform X1	XM_064253859.1
LOC135217851	XP_064109931.1	scavenger receptor cysteine-rich type 1 protein M130-like isoform X1	XM_064253861.1
LOC135217851	XP_064109927.1	scavenger receptor cysteine-rich type 1 protein M130-like isoform X1	XM_064253857.1
LOC135217851	XP_064109926.1	scavenger receptor cysteine-rich type 1 protein M130-like isoform X1	XM_064253856.1
LOC135217945	XP_064110118.1	antigen WC1.1-like	XM_064254048.1
LOC135218007	XP_064110221.1	glutamate receptor-like	XM_064254151.1
LOC135217868	XP_064109960.1	mothers against decapentaplegic homolog 4-like isoform X2	XM_064253890.1
LOC135217868	XP_064109959.1	mothers against decapentaplegic homolog 4-like isoform X1	XM_064253889.1
LOC135217868	XP_064109961.1	mothers against decapentaplegic homolog 4-like isoform X3	XM_064253891.1
LOC135218296	XP_064110584.1	uncharacterized protein LOC135218296	XM_064254514.1
LOC135218295	XP_064110582.1	tRNA (adenine(37)-N6)-methyltransferase-like	XM_064254512.1
LOC135218295	XP_064110581.1	tRNA (adenine(37)-N6)-methyltransferase-like	XM_064254511.1
LOC135218295	XP_064110583.1	tRNA (adenine(37)-N6)-methyltransferase-like	XM_064254513.1
LOC135217877	XP_064109970.1	uncharacterized protein LOC135217877 isoform X2	XM_064253900.1
LOC135217877	XP_064109969.1	uncharacterized protein LOC135217877 isoform X1	XM_064253899.1
LOC135218601	XP_064111099.1	mucin-2-like	XM_064255029.1
LOC135218602	XP_064111100.1	basic salivary proline-rich protein 4-like	XM_064255030.1
LOC135218603	XP_064111102.1	uncharacterized protein LOC135218603	XM_064255032.1
LOC135218264	XP_064110507.1	mucin-17-like	XM_064254437.1
LOC135218324	XP_064110623.1	annexin-B12-like	XM_064254553.1
LOC135218325	XP_064110624.1	probable nuclear transport factor 2	XM_064254554.1
LOC135217912	XP_064110050.1	tropomyosin isoform X16	XM_064253980.1
LOC135217912	XP_064110045.1	tropomyosin Mac r 1.0101 isoform X15	XM_064253975.1
LOC135217912	XP_064110058.1	tropomyosin isoform X24	XM_064253988.1
LOC135217912	XP_064110056.1	tropomyosin isoform X22	XM_064253986.1
LOC135217912	XP_064110053.1	tropomyosin isoform X20	XM_064253983.1
LOC135217912	XP_064110048.1	tropomyosin isoform X16	XM_064253978.1
LOC135217912	XP_064110052.1	tropomyosin isoform X19	XM_064253982.1
LOC135217912	XP_064110049.1	tropomyosin isoform X17	XM_064253979.1
LOC135217912	XP_064110051.1	tropomyosin isoform X18	XM_064253981.1
LOC135217912	XP_064110044.1	tropomyosin Mac r 1.0101 isoform X15	XM_064253974.1
LOC135217912	XP_064110046.1	tropomyosin Mac r 1.0101 isoform X15	XM_064253976.1
LOC135217912	XP_064110047.1	tropomyosin Mac r 1.0101 isoform X15	XM_064253977.1
LOC135217912	XP_064110040.1	tropomyosin isoform X12	XM_064253970.1
LOC135217912	XP_064110042.1	tropomyosin isoform X14	XM_064253972.1
LOC135217912	XP_064110041.1	tropomyosin isoform X13	XM_064253971.1
LOC135217912	XP_064110036.1	tropomyosin isoform X8	XM_064253966.1
LOC135217912	XP_064110032.1	tropomyosin isoform X5	XM_064253962.1
LOC135217912	XP_064110038.1	tropomyosin isoform X10	XM_064253968.1
LOC135217912	XP_064110035.1	tropomyosin isoform X7	XM_064253965.1
LOC135217912	XP_064110030.1	tropomyosin isoform X3	XM_064253960.1
LOC135217912	XP_064110028.1	tropomyosin isoform X1	XM_064253958.1
LOC135217912	XP_064110033.1	tropomyosin isoform X6	XM_064253963.1
LOC135217912	XP_064110029.1	tropomyosin isoform X2	XM_064253959.1
LOC135217912	XP_064110063.1	tropomyosin-1, isoforms 9A/A/B isoform X29	XM_064253993.1
LOC135217912	XP_064110062.1	tropomyosin isoform X28	XM_064253992.1
LOC135217912	XP_064110059.1	tropomyosin isoform X25	XM_064253989.1
LOC135217912	XP_064110055.1	tropomyosin isoform X21	XM_064253985.1
LOC135217912	XP_064110057.1	tropomyosin isoform X23	XM_064253987.1
LOC135217912	XP_064110037.1	tropomyosin isoform X9	XM_064253967.1
LOC135217912	XP_064110039.1	tropomyosin isoform X11	XM_064253969.1
LOC135217912	XP_064110031.1	tropomyosin isoform X4	XM_064253961.1
LOC135217912	XP_064110061.1	tropomyosin isoform X27	XM_064253991.1
LOC135217912	XP_064110060.1	tropomyosin isoform X26	XM_064253990.1
LOC135218604	XP_064111103.1	uncharacterized protein LOC135218604	XM_064255033.1
LOC135217909	XP_064110020.1	uncharacterized protein LOC135217909	XM_064253950.1
LOC135217910	XP_064110021.1	uncharacterized protein LOC135217910	XM_064253951.1
LOC135217910	XP_064110022.1	uncharacterized protein LOC135217910	XM_064253952.1
LOC135217910	XP_064110023.1	uncharacterized protein LOC135217910	XM_064253953.1
LOC135217910	XP_064110026.1	uncharacterized protein LOC135217910	XM_064253956.1
LOC135217910	XP_064110024.1	uncharacterized protein LOC135217910	XM_064253954.1
LOC135218605	XP_064111104.1	LOW QUALITY PROTEIN: uncharacterized protein LOC135218605	XM_064255034.1
LOC135218606	XP_064111105.1	uncharacterized protein LOC135218606	XM_064255035.1
LOC135218607	XP_064111106.1	uncharacterized protein LOC135218607	XM_064255036.1
LOC135218608	XP_064111107.1	plasminogen-like	XM_064255037.1
LOC135218609	XP_064111108.1	LOW QUALITY PROTEIN: mucin-2-like	XM_064255038.1
LOC135218611	XP_064111109.1	lactosylceramide 4-alpha-galactosyltransferase-like	XM_064255039.1
LOC135218333	XP_064110633.1	uncharacterized protein LOC135218333	XM_064254563.1
LOC135218612	XP_064111110.1	sulfotransferase 1C4-like	XM_064255040.1
LOC135218614	XP_064111118.1	trichohyalin-like	XM_064255048.1
LOC135218536	XP_064110976.1	protein naked cuticle homolog 1-like	XM_064254906.1
LOC135218246	XP_064110479.1	uncharacterized protein LOC135218246	XM_064254409.1
LOC135218522	XP_064110957.1	mitochondrial amidoxime-reducing component 1-like	XM_064254887.1
LOC135218522	XP_064110956.1	mitochondrial amidoxime-reducing component 1-like	XM_064254886.1
LOC135218512	XP_064110947.1	mitochondrial amidoxime reducing component 2-like isoform X1	XM_064254877.1
LOC135218512	XP_064110948.1	mitochondrial amidoxime reducing component 2-like isoform X2	XM_064254878.1
LOC135218341	XP_064110639.1	dynein intermediate chain 2, ciliary-like	XM_064254569.1
LOC135218313	XP_064110607.1	LOW QUALITY PROTEIN: purine nucleoside phosphorylase-like	XM_064254537.1
LOC135218342	XP_064110641.1	uncharacterized protein LOC135218342 isoform X2	XM_064254571.1
LOC135218342	XP_064110640.1	uncharacterized protein LOC135218342 isoform X1	XM_064254570.1
LOC135218572	XP_064111029.1	protein pellino-like	XM_064254959.1
LOC135218290	XP_064110572.1	uncharacterized protein LOC135218290	XM_064254502.1
LOC135218538	XP_064110980.1	tripartite motif-containing protein 72-like isoform X2	XM_064254910.1
LOC135218538	XP_064110979.1	E3 ubiquitin-protein ligase TRIM13-like isoform X1	XM_064254909.1
LOC135218330	XP_064110629.1	neurotrypsin-like	XM_064254559.1
LOC135218369	XP_064110695.1	glucoside xylosyltransferase 2-like	XM_064254625.1
LOC135218500	XP_064110924.1	LOW QUALITY PROTEIN: homocysteine S-methyltransferase YbgG-like	XM_064254854.1
LOC135218617	XP_064111120.1	uncharacterized protein LOC135218617	XM_064255050.1
